id,name,store_id,store_name,rating
0,靳瑋婷,32,鐵台_镹 coffee • dessert,5
0,靳瑋婷,72,丹味企業_籠裏 Bar Lonely,4
0,靳瑋婷,78,瑞輝大藥廠_籠裏 Bar Lonely,4
0,靳瑋婷,79,家宜家居（KIEA）_啤酒超市,4
1,劉佳玲,1,天中電視_Bären Biergelden 貝倫啤酒館,4
1,劉佳玲,4,遠西百貨_猫毛珈琲（原猫門）,4
1,劉佳玲,11,共公電視_甜在心咖啡館,5
1,劉佳玲,29,湖劍山世界_鯤島 Khuntor,3
1,劉佳玲,58,都亞緻麗_镹 coffee • dessert,5
1,劉佳玲,62,榮長海運_木子樑室,4
1,劉佳玲,64,明陽海運_納咖啡,5
1,劉佳玲,82,鐵台_木子樑室,4
1,劉佳玲,88,古太可口可樂_黑早咖啡,4
1,劉佳玲,89,愛味之_巷隅咖啡,5
1,劉佳玲,91,邦富人壽保險_小巷裡的拾壹號,4
2,王冠廷,3,美奧廣告_鮮汁霸果汁,4
2,王冠廷,32,鐵台_镹 coffee • dessert,5
2,王冠廷,46,台灣電信_鯤島 Khuntor,5
2,王冠廷,59,王鼎餐飲集團_木子樑室,1
2,王冠廷,63,王鼎餐飲集團_那豆鮮焙,5
2,王冠廷,67,見遠雜誌_甜又鮮飲料,3
2,王冠廷,76,立三電視_在島之後After Island. 餐酒館,1
2,王冠廷,81,光新三越百貨_私人藏豆,4
2,王冠廷,99,愛味之_納咖啡,1
3,奚淑貞,21,華晶國際酒店_鮮汁霸果汁,3
3,奚淑貞,23,律理法律_席瑪朵咖啡烘焙棧（青年店）,5
3,奚淑貞,25,邦城文化事業_東楓咖啡茶飲,5
3,奚淑貞,27,達宏國際電子_波哥茶飲,4
3,奚淑貞,60,心安食品服務（斯摩漢堡）_老賴茶棧台南文賢店,3
3,奚淑貞,67,見遠雜誌_甜又鮮飲料,2
4,孟淑娟,15,松黑_咖啡平方 東安店,4
4,孟淑娟,71,台灣軟微_小巷裡的拾壹號,4
4,孟淑娟,82,鐵台_木子樑室,5
4,孟淑娟,96,雄豹旅遊_The Sober Foodie 食上主義餐酒館,1
4,孟淑娟,99,愛味之_納咖啡,3
5,陸承翰,17,松黑_甜又鮮飲料,3
5,陸承翰,21,華晶國際酒店_鮮汁霸果汁,5
5,陸承翰,34,合作庫金商業銀行_波哥茶飲,5
5,陸承翰,62,榮長海運_木子樑室,4
5,陸承翰,78,瑞輝大藥廠_籠裏 Bar Lonely,3
5,陸承翰,79,家宜家居（KIEA）_啤酒超市,4
5,陸承翰,85,衣優庫（Nuiqlo）_a Room房間咖啡,4
6,楊佳慧,8,遠西百貨_甜又鮮飲料,2
6,楊佳慧,41,台灣五星電子_双生綠豆沙牛奶,1
6,楊佳慧,46,台灣電信_鯤島 Khuntor,2
6,楊佳慧,57,達台電子_咖啡平方 東安店,5
6,楊佳慧,89,愛味之_巷隅咖啡,5
6,楊佳慧,89,愛味之_巷隅咖啡,5
7,吳靜宜,1,天中電視_Bären Biergelden 貝倫啤酒館,5
7,吳靜宜,9,石金堂_Bären Biergelden 貝倫啤酒館,2
7,吳靜宜,27,達宏國際電子_波哥茶飲,3
7,吳靜宜,33,Goagle_魚羊鮮豆 東豐店,2
7,吳靜宜,36,台北登來喜大飯店_就愛咖啡 J'aime Café,5
7,吳靜宜,55,台灣印無品良_波哥茶飲,3
7,吳靜宜,65,達廣電腦_鮮汁霸果汁,2
7,吳靜宜,75,心安食品服務（斯摩漢堡）_Bar TCRC 前科累累俱樂部,3
8,楊冠廷,9,石金堂_Bären Biergelden 貝倫啤酒館,4
8,楊冠廷,13,達友光電_東二精釀啤酒吧 Tongoh Craft Beer Bar,1
8,楊冠廷,27,達宏國際電子_波哥茶飲,3
8,楊冠廷,54,台灣電信_a Room房間咖啡,4
8,楊冠廷,59,王鼎餐飲集團_木子樑室,5
8,楊冠廷,59,王鼎餐飲集團_木子樑室,4
